Galaxy S 2 Epic 4G Touch,SPH-D710,SPRU.s. (spint),SPH-D710.FL24,4.0.4,24.12.2012,1173404,Unlock,Samsung-Updates.com-SPH-D710-SPR-SPH-D710.FL24-1356354294.zip,http://hotfile.com/dl/195008237/f62ed0a/Samsung-Updates.com-SPH-D710-SPR-SPH-D710.FL24-1356354294.zip.html,00228
dev,permission,user,group,permission,user,group,only in custom version,alert_permission_abuse,permission modification,alert_input,alert_exynos
/dev/CEC,,,,0666,system,system,O,O,,,,
/dev/HPD,,,,0666,system,system,O,O,,,,
/dev/accelerometer,,,,0660,system,system,O,,,,,
/dev/akm8975,,,,0660,system,system,O,,,,,
/dev/block/mmcblk0p8,,,,0660,system,radio,O,,,,,
/dev/dpram0,,,,0660,radio,radio,O,,,,,
/dev/dpram1,,,,0660,radio,radio,O,,,,,
/dev/dpramerr,,,,0660,radio,radio,O,,,,,
/dev/exynos-mem,,,,0666,system,graphics,O,O,,,O
/dev/fimg2d,,,,0666,system,graphics,O,O,,,,
/dev/fmradio,,,,0660,system,audio,O,,,,,
/dev/i2c-7,,,,0666,system,system,O,O,,,,
/dev/link_pm,,,,0660,system,radio,O,,,,,
/dev/mali,,,,0666,system,system,O,O,,,,
/dev/multipdp,,,,0660,radio,radio,O,,,,,
/dev/pmem_gpu1,,,,0660,system,graphics,O,,,,,
/dev/s3c-mem,,,,0666,system,system,O,O,,,,
/dev/s3c-mfc,,,,0666,system,graphics,O,O,,,,
/dev/s5p-jpeg,,,,0666,system,camera,O,O,,,,
/dev/s5p-mfc,,,,0666,system,graphics,O,O,,,,
/dev/srp,,,,0666,system,audio,O,O,,,,
/dev/srp_ctrl,,,,0666,system,audio,O,O,,,,
/dev/swmxctl,,,,0660,system,system,O,,,,,
/dev/ttyCDMA0,,,,0660,radio,radio,O,,,,,
/dev/ttyEFS0,,,,0660,radio,radio,O,,,,,
/dev/ttyVTAD0,,,,0660,radio,radio,O,,,,,
/dev/ttyVTCTRL0,,,,0660,radio,radio,O,,,,,
/dev/ttyVTENT0,,,,0660,radio,radio,O,,,,,
/dev/ttyVTVD0,,,,0660,radio,radio,O,,,,,
/dev/ump,,,,0666,system,graphics,O,O,,,,
/dev/umts*,,,,0660,system,radio,O,,,,,
/dev/usb/lp*,,,,0660,system,usb,O,,,,,
/dev/uwibro,,,,0660,system,system,O,,,,,
/dev/video0,,,,0666,system,m2m,O,O,,,,
/dev/video1,,,,0666,system,camera,O,O,,,,
/dev/video14,,,,0660,system,system,O,,,,,
/dev/video2,,,,0666,system,m2m,O,O,,,,
/dev/video21,,,,0660,system,system,O,,,,,
/dev/video3,,,,0666,system,m2m,O,O,,,,
/dev/video4,,,,0666,system,m2m,O,O,,,,
